Model,Scenario,Region,indicator,unit,year,emissions
GCAM,Paris - Increased ambition,EU-15,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,3492.463067
GCAM,Paris - Increased ambition,European Free Trade Association,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,86.03269123
GCAM,Paris - Increased ambition,Europe_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,338.1623951
GCAM,Paris - Increased ambition,Europe_Non_EU,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,366.9312213
GCAM,Paris - Increased ambition,India,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1346.294597
GCAM,Paris - Increased ambition,Indonesia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,656.0823961
GCAM,Paris - Increased ambition,Japan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1327.855399
GCAM,Paris - Increased ambition,Mexico,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,569.1941864
GCAM,Paris - Increased ambition,Middle East,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1435.803025
GCAM,Paris - Increased ambition,Pakistan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,140.6383932
GCAM,Paris - Increased ambition,Russia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1605.958177
GCAM,Paris - Increased ambition,South Africa,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,467.6386016
GCAM,Paris - Increased ambition,South America_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,207.9369458
GCAM,Paris - Increased ambition,South America_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,279.0227707
GCAM,Paris - Increased ambition,South Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,66.07831799
GCAM,Paris - Increased ambition,Southeast Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1158.868976
GCAM,Paris - Increased ambition,South Korea,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,533.8909255
GCAM,Paris - Increased ambition,Taiwan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,289.9819047
GCAM,Paris - Increased ambition,United States,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,5488.373891
GCAM,Paris - Increased ambition,World,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,31889.09899
GCAM,Low policy,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,223.2126823
GCAM,Low policy,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,465.7677276
GCAM,Low policy,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,213.506448
GCAM,Low policy,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,1265.193158
GCAM,Low policy,Argentina,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,557.8009953
GCAM,Low policy,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2010,546.9975281
